c,invest,y,k,h,z,g,productivity
-0.013597620977344516,-1.1382747757122278,-0.3522587226433256,8.056472060100527,0.2746069482533727,-1.0806483797897484,0.7996136740462481,-0.40419821554515245
0.14792526949006524,-0.03833698066022162,1.1317050733037672,7.816723277937792,0.48617223254708236,-0.24589564809251263,1.0221167844739245,1.6967424057519405
-0.18817177383156158,-1.5301016452348208,-0.8775614818777213,6.091203550754527,0.2400704058488025,-1.3939141813521077,0.8407119371886616,-1.5963303406018063
-0.5293109886787986,-2.7607357011323055,-2.5796947651288415,3.178187760853355,0.050980486305942596,-2.360402356894399,0.7103519246822629,-4.601529642358259
-0.7899122244755659,-3.082407440501076,-2.9441453218007245,0.016325626330946363,0.07496589354625155,-2.6188165932927063,0.928174343175918,-5.961411389488055
-1.4621882032112063,-5.245476255984979,-5.790136435075307,-5.229558770312309,-0.20617228450037345,-4.2941742178956215,0.9175280241208799,-11.375327692307643
-2.0862851038145096,-6.853507043065394,-7.9830795657923685,-11.952326844119895,-0.38633438389540026,-5.575240898344125,0.9567125810875363,-15.952164049122551
-2.0046743078437137,-5.806079950656599,-7.070811095914954,-17.459598623673497,-0.25019505693992233,-4.9066395924627,0.7399431625853607,-14.728162860330553
-2.4287264588204147,-6.991800155115982,-8.968427011645748,-24.01490881319764,-0.4459676185833836,-5.911111068719116,0.4520996022906503,-18.245551361453717
-2.455616275070906,-6.363786911331811,-8.56123334650691,-29.77832300419951,-0.3634365615869009,-5.553413930617435,0.2581698398958093,-17.94107003273026
-2.4751511106711965,-5.090007320657148,-6.893014633200038,-34.12387224975167,-0.05647099040130005,-4.627811579733804,0.6721437981283083,-16.347469479224294
-2.6887434801657233,-5.2095613850182945,-7.167468229864375,-38.48033682852618,-0.03244671845233421,-4.772684261436115,0.7308366353196458,-17.437792217831127
-3.1033465475250837,-6.087126166055709,-8.382119988489347,-43.60545457386873,-0.10854558712952567,-5.48649770054871,0.8083527250914473,-20.23612343847863
-3.0663002883795483,-5.392034176531793,-7.819753506529559,-47.9073523860538,-0.02006376942834759,-5.055207164447192,0.6385809583817854,-19.532249562163997
-3.147431500614673,-4.4853348232649335,-6.50715080570976,-51.195003399667385,0.24407046642619837,-4.376939588820022,1.1256155181698515,-18.529547690983723
-2.7873394067903057,-2.683782967831725,-4.41576652402192,-52.59891128250743,0.4967039023252098,-3.0746719887642326,1.0553558506001166,-15.062702158952423
-2.539334178142554,-1.329757182379907,-2.6632201887478955,-52.61369568282464,0.7268815884919028,-2.0572748810457395,1.2058711717745705,-12.362838213161986
-2.3409529254756754,-0.6877595904455226,-1.9324191126588937,-51.986112881199546,0.7902207242310153,-1.5865735930509783,1.0962934032623102,-10.874270636453907
-2.3429924073806196,-0.8138664254939713,-2.081778158831717,-51.50032648466353,0.7640397338534132,-1.6751169299734698,1.0750806740428793,-11.031419990659419
-1.856529252229806,0.5602988550545941,-0.591834382533913,-49.65251946749234,0.8649849115684904,-0.6760033798127091,0.7043960146413047,-7.683309286775256
-2.467311862569067,-2.2038815126562374,-4.06159760561927,-50.61508799346127,0.45044051624359543,-2.742848384716721,0.6095957696060379,-13.486108495135646
-2.708564214198275,-3.2431906789525557,-5.5428550663665925,-52.592901472577296,0.2667688822388337,-3.5625374145138617,0.4088998267842424,-15.888889274254016
-2.3560240335547924,-1.495023009882023,-3.3722707813186945,-52.77310194564488,0.5362528799679844,-2.265714533028992,0.47877626211812546,-12.371690148224076
-2.0113657135602763,-0.01387574864513852,-1.452754237482396,-51.46765014564889,0.7632583623970495,-1.1417827822656155,0.5724872247230242,-9.135665489127248
-2.1613162770137784,-0.4856396496291273,-1.822350490200363,-50.66659854163679,0.7482820829705262,-1.449485399479553,0.8246054364425472,-10.078035187957195
-1.1095049569131226,2.88010005907017,2.0900861496266185,-46.519833519025696,1.090898900267338,1.0386870005872704,0.31949104746957624,-2.147943791798115
-0.29756386422826187,5.050823996902931,4.759810064258751,-40.30601368414712,1.2923029220169624,2.696371567112239,0.006549931584086732,3.6231909277440053
-0.18605384778310674,4.619346778619488,4.482051475482297,-34.67901656342394,1.2039802242952111,2.4643350006756646,0.048758544645918944,3.7713725616936924
